mesocosm_ID;age;treatment;fish;warming;event;rep
24;28;WF_W;WF;W;1;1
23;56;WF_NW;WF;NW;1;1
1;56;WF_NW;WF;NW;1;4
10;64;WF_W;WF;W;1;3
10;64;WF_W;WF;W;1;3
3;84;CF_W;CF;W;1;4
3;84;CF_W;CF;W;1;4
14;84;WF_NW;WF;NW;1;2
14;84;WF_NW;WF;NW;1;2
14;84;WF_NW;WF;NW;1;2
2;84;WF_W;WF;W;0;4
2;84;WF_W;WF;W;0;4
2;84;WF_W;WF;W;0;4
2;84;WF_W;WF;W;0;4
3;84;CF_W;CF;W;0;4
3;84;CF_W;CF;W;0;4
4;84;CF_NW;CF;NW;0;4
4;84;CF_NW;CF;NW;0;4
4;84;CF_NW;CF;NW;0;4
4;84;CF_NW;CF;NW;0;4
9;84;CF_NW;CF;NW;0;3
9;84;CF_NW;CF;NW;0;3
9;84;CF_NW;CF;NW;0;3
9;84;CF_NW;CF;NW;0;3
10;84;WF_W;WF;W;0;3
10;84;WF_W;WF;W;0;3
11;84;CF_W;CF;W;0;3
11;84;CF_W;CF;W;0;3
11;84;CF_W;CF;W;0;3
11;84;CF_W;CF;W;0;3
12;84;WF_NW;WF;NW;0;3
12;84;WF_NW;WF;NW;0;3
12;84;WF_NW;WF;NW;0;3
12;84;WF_NW;WF;NW;0;3
13;84;CF_W;CF;W;0;2
13;84;CF_W;CF;W;0;2
13;84;CF_W;CF;W;0;2
13;84;CF_W;CF;W;0;2
14;84;WF_NW;WF;NW;0;2
15;84;WF_W;WF;W;0;2
15;84;WF_W;WF;W;0;2
15;84;WF_W;WF;W;0;2
15;84;WF_W;WF;W;0;2
17;84;CF_NW;CF;NW;0;2
17;84;CF_NW;CF;NW;0;2
17;84;CF_NW;CF;NW;0;2
17;84;CF_NW;CF;NW;0;2
20;84;CF_NW;CF;NW;0;1
20;84;CF_NW;CF;NW;0;1
20;84;CF_NW;CF;NW;0;1
20;84;CF_NW;CF;NW;0;1
22;84;CF_W;CF;W;0;1
22;84;CF_W;CF;W;0;1
22;84;CF_W;CF;W;0;1
22;84;CF_W;CF;W;0;1
23;84;WF_NW;WF;NW;0;1
23;84;WF_NW;WF;NW;0;1
23;84;WF_NW;WF;NW;0;1
24;84;WF_W;WF;W;0;1
24;84;WF_W;WF;W;0;1
24;84;WF_W;WF;W;0;1
1;84;WF_NW;WF;NW;0;4
1;84;WF_NW;WF;NW;0;4
1;84;WF_NW;WF;NW;0;4
