date;mesocosm_ID;fish;warming;compartment;class;order;taxa;N_l;C_mug_l;tmean15;date_c
20/04/2021;1;SB;NW;inv;NA;diptera;chironominae;0.0916088417786784;1.46314430099695;13.1737355869414;28
20/04/2021;1;SB;NW;inv;NA;diptera;orthocladiinae;7.6035338676303;598.224236461021;13.1737355869414;28
20/04/2021;1;SB;NW;inv;NA;diptera;tanypodinae;0.183217683557357;29.8965683433951;13.1737355869414;28
20/04/2021;1;SB;NW;inv;NA;ephemeroptera;cloeon;0.458044208893392;182.274015070194;13.1737355869414;28
20/04/2021;1;SB;NW;inv;NA;hemiptera;notonectidae;0.0556607451250344;18.0937769803496;13.1737355869414;28
20/04/2021;1;SB;NW;inv;NA;odonata;sympetrinae;0.0916088417786784;1177.65495352902;13.1737355869414;28
20/04/2021;10;SB;W;inv;NA;diptera;ceratopogonidae;0.183217683557357;5.85624141658132;16.1749967585089;28
20/04/2021;10;SB;W;inv;NA;diptera;chironominae;0.366435367114713;7.94282493122373;16.1749967585089;28
20/04/2021;10;SB;W;inv;NA;diptera;orthocladiinae;4.78453255191316;438.37157897591;16.1749967585089;28
20/04/2021;10;SB;W;inv;NA;diptera;tanypodinae;0.54965305067207;46.2701797856884;16.1749967585089;28
20/04/2021;10;SB;W;inv;NA;ephemeroptera;cloeon;0.54965305067207;90.6859893920112;16.1749967585089;28
20/04/2021;10;SB;W;inv;NA;hemiptera;notonectidae;0.0765335245469223;54.6724701486728;16.1749967585089;28
20/04/2021;10;SB;W;inv;NA;odonata;sympetrinae;0.732870734229427;3099.70850862173;16.1749967585089;28
20/04/2021;11;LB;W;inv;NA;diptera;ceratopogonidae;0.458044208893392;18.641244878484;16.859913405881;28
20/04/2021;11;LB;W;inv;NA;diptera;chironominae;0.746785920510686;7.28900585225187;16.859913405881;28
20/04/2021;11;LB;W;inv;NA;diptera;orthocladiinae;5.82006018404114;250.534889220297;16.859913405881;28
20/04/2021;11;LB;W;inv;NA;diptera;tanypodinae;1.74056799379489;141.452497991931;16.859913405881;28
20/04/2021;11;LB;W;inv;NA;ephemeroptera;cloeon;0.465001802034021;15.7365592385757;16.859913405881;28
20/04/2021;11;LB;W;inv;NA;odonata;sympetrinae;0.824479576008105;390.321261275994;16.859913405881;28
20/04/2021;12;SB;NW;inv;NA;diptera;ceratopogonidae;0.366435367114713;12.3405085057658;13.0528411669368;28
20/04/2021;12;SB;NW;inv;NA;diptera;chironominae;0.274826525336035;5.33575407074142;13.0528411669368;28
20/04/2021;12;SB;NW;inv;NA;diptera;orthocladiinae;15.3044740392294;849.179924365858;13.0528411669368;28
20/04/2021;12;SB;NW;inv;NA;diptera;tanypodinae;2.56504756980299;221.502909867163;13.0528411669368;28
20/04/2021;12;SB;NW;inv;NA;ephemeroptera;cloeon;0.366435367114713;301.099269262271;13.0528411669368;28
20/04/2021;12;SB;NW;inv;NA;hemiptera;notonectidae;0.0347879657031465;11.0927936476538;13.0528411669368;28
20/04/2021;12;SB;NW;inv;NA;odonata;sympetrinae;0.641261892450749;660.051974999558;13.0528411669368;28
20/04/2021;13;LB;W;inv;NA;diptera;ceratopogonidae;0.54965305067207;22.8929056265117;16.6737272516786;28
20/04/2021;13;LB;W;inv;NA;diptera;chironominae;0.641261892450749;14.4854478474932;16.6737272516786;28
20/04/2021;13;LB;W;inv;NA;diptera;orthocladiinae;9.48441385518828;733.617245069327;16.6737272516786;28
20/04/2021;13;LB;W;inv;NA;diptera;tanypodinae;1.37413262668018;149.806351239283;16.6737272516786;28
20/04/2021;13;LB;W;inv;NA;ephemeroptera;cloeon;0.458044208893392;238.327000420163;16.6737272516786;28
20/04/2021;13;LB;W;inv;NA;odonata;sympetrinae;0.366435367114713;1531.53975342929;16.6737272516786;28
20/04/2021;14;SB;NW;inv;NA;diptera;ceratopogonidae;1.28948137804213;57.6528552585975;13.2635038203288;28
20/04/2021;14;SB;NW;inv;NA;diptera;chironominae;0.183217683557357;2.29520352936372;13.2635038203288;28
20/04/2021;14;SB;NW;inv;NA;diptera;orthocladiinae;6.63758216690862;531.417003987555;13.2635038203288;28
20/04/2021;14;SB;NW;inv;NA;diptera;tanypodinae;0.824479576008105;85.7731491624665;13.2635038203288;28
20/04/2021;14;SB;NW;inv;NA;ephemeroptera;cloeon;0.183217683557357;195.459564693295;13.2635038203288;28
20/04/2021;14;SB;NW;inv;NA;odonata;sympetrinae;0.641261892450749;2213.48340487105;13.2635038203288;28
20/04/2021;15;SB;W;inv;NA;diptera;anophelinae;0.0069575931406293;0.156818996457153;16.7694672377865;28
20/04/2021;15;SB;W;inv;NA;diptera;ceratopogonidae;0.465001802034021;19.8668438328548;16.7694672377865;28
20/04/2021;15;SB;W;inv;NA;diptera;chironominae;0.183217683557357;2.38533832972966;16.7694672377865;28
20/04/2021;15;SB;W;inv;NA;diptera;orthocladiinae;6.95879158232806;478.519423833141;16.7694672377865;28
20/04/2021;15;SB;W;inv;NA;diptera;tanypodinae;2.94539812319897;151.049840162876;16.7694672377865;28
20/04/2021;15;SB;W;inv;NA;ephemeroptera;cloeon;0.183217683557357;3.22607338005291;16.7694672377865;28
